key,label,type,type_idx,n_neurons,excl_rate,excl_rate_sd,enrichment,share_of_excluded,median_act_frac,median_in_deg
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_0,0,796,0.9972,0.0055,2.444,0.0387,0.0000,14.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_5,5,796,0.9955,0.0030,2.439,0.0386,0.0000,226.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_6,6,796,0.9932,0.0055,2.434,0.0386,0.0000,233.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_21,21,796,0.9884,0.0050,2.422,0.0384,0.9768,332.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_51,51,796,0.9575,0.0175,2.346,0.0372,1.0000,21.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_28,28,796,0.9538,0.0124,2.337,0.0370,1.0000,41.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_27,27,796,0.9457,0.0136,2.317,0.0367,1.0000,53.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_19,19,796,0.9211,0.0421,2.257,0.0357,1.0000,56.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_7,7,796,0.8771,0.0869,2.149,0.0341,0.9273,203.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_8,8,796,0.8764,0.0180,2.148,0.0340,1.0000,218.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_59,59,796,0.8731,0.0583,2.139,0.0339,0.9983,207.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_26,26,796,0.8515,0.0437,2.087,0.0331,1.0000,42.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_10,10,132,0.8500,0.2284,2.083,0.0055,0.0000,20.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_23,23,796,0.8437,0.0427,2.067,0.0327,1.0000,52.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_29,29,796,0.8231,0.0897,2.017,0.0319,0.5962,135.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_31,31,796,0.8113,0.0227,1.988,0.0315,0.7230,186.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_11,11,132,0.8076,0.0935,1.979,0.0052,0.0280,91.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_50,50,796,0.7525,0.1539,1.844,0.0290,0.2603,417.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_22,22,796,0.6796,0.2650,1.665,0.0262,0.9542,302.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_64,64,796,0.6603,0.1122,1.618,0.0256,1.0000,32.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_61,61,796,0.6246,0.1901,1.531,0.0239,0.7576,79.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_38,38,796,0.6095,0.2008,1.494,0.0233,0.6212,340.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_16,16,796,0.5362,0.2238,1.314,0.0205,1.0000,14.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_63,63,796,0.5309,0.0746,1.301,0.0205,1.0000,366.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_12,12,796,0.5131,0.3406,1.257,0.0198,0.9761,293.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_34,34,796,0.5058,0.0949,1.239,0.0197,0.6783,214.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_35,35,796,0.4927,0.1503,1.207,0.0192,0.5424,374.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_60,60,796,0.4920,0.0768,1.206,0.0191,1.0000,353.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_18,18,796,0.4181,0.0593,1.024,0.0162,0.6215,196.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_54,54,796,0.4083,0.1355,1.000,0.0161,0.9992,16.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_55,55,796,0.3912,0.2728,0.959,0.0148,0.8965,285.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_32,32,796,0.3849,0.0742,0.943,0.0149,1.0000,462.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_4,4,796,0.3641,0.3337,0.892,0.0137,1.0000,7.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_33,33,796,0.3387,0.1019,0.830,0.0132,0.9973,308.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_37,37,796,0.3183,0.0957,0.780,0.0124,0.5603,366.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_62,62,796,0.2905,0.0439,0.712,0.0112,0.9919,112.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_47,47,796,0.2432,0.0879,0.596,0.0093,0.9178,19.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_15,15,796,0.2314,0.1488,0.567,0.0089,1.0000,14.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_53,53,796,0.1945,0.1133,0.477,0.0074,1.0000,28.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_58,58,796,0.1882,0.1459,0.461,0.0072,0.0134,101.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_13,13,796,0.1824,0.0502,0.447,0.0071,0.8528,19.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_2,2,796,0.1437,0.0682,0.352,0.0055,0.9992,337.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_48,48,796,0.1322,0.0454,0.324,0.0051,1.0000,384.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_46,46,796,0.1256,0.0436,0.308,0.0048,1.0000,199.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_36,36,796,0.1191,0.0614,0.292,0.0046,0.4322,349.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_9,9,796,0.1156,0.0623,0.283,0.0044,0.9523,228.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_41,41,796,0.1148,0.0771,0.281,0.0045,0.0305,342.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_56,56,796,0.1033,0.2059,0.253,0.0036,0.9998,15.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_44,44,796,0.0967,0.0436,0.237,0.0038,0.6788,24.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_42,42,796,0.0940,0.0728,0.230,0.0037,0.1101,330.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_39,39,796,0.0812,0.0591,0.199,0.0032,0.1127,347.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_57,57,796,0.0759,0.0453,0.186,0.0030,0.8995,25.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_3,3,796,0.0668,0.0246,0.164,0.0026,1.0000,7.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_40,40,796,0.0601,0.0426,0.147,0.0023,0.0460,340.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_45,45,796,0.0435,0.0138,0.107,0.0017,0.6651,345.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_1,1,796,0.0427,0.0530,0.105,0.0016,1.0000,354.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_43,43,796,0.0369,0.0438,0.091,0.0014,1.0000,330.5
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_17,17,796,0.0332,0.0075,0.081,0.0013,0.9990,17.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_20,20,796,0.0183,0.0256,0.045,0.0007,1.0000,3.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_24,24,796,0.0045,0.0015,0.011,0.0002,1.0000,51.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_52,52,796,0.0025,0.0011,0.006,0.0001,0.9117,10.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_14,14,796,0.0000,0.0000,0.000,0.0000,1.0000,2.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_25,25,796,0.0000,0.0000,0.000,0.0000,1.0000,42.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_30,30,796,0.0000,0.0000,0.000,0.0000,1.0000,121.0
fulleye_prox_gnn,"FlyWire full eye, proximal nulls (GNN)",type_49,49,796,0.0000,0.0000,0.000,0.0000,0.9933,1.0
stride5_gnn,1/5 frames (GNN),Am,0,217,1.0000,0.0000,1.776,0.0281,0.0000,14.0
stride5_gnn,1/5 frames (GNN),L1,5,217,1.0000,0.0000,1.776,0.0281,0.0000,19.0
stride5_gnn,1/5 frames (GNN),L2,6,217,1.0000,0.0000,1.776,0.0281,0.0000,17.0
stride5_gnn,1/5 frames (GNN),Lawf1,10,35,1.0000,0.0000,1.776,0.0045,0.0000,20.0
stride5_gnn,1/5 frames (GNN),Mi2,19,217,0.9991,0.0018,1.774,0.0281,1.0000,17.0
stride5_gnn,1/5 frames (GNN),R7,29,217,0.9945,0.0045,1.766,0.0280,0.5975,1.0
stride5_gnn,1/5 frames (GNN),Mi4,21,217,0.9788,0.0181,1.738,0.0275,0.9675,51.0
stride5_gnn,1/5 frames (GNN),Tm4,50,217,0.9650,0.0132,1.714,0.0272,0.2160,58.0
stride5_gnn,1/5 frames (GNN),TmY14,58,217,0.9650,0.0132,1.714,0.0271,0.0282,99.0
stride5_gnn,1/5 frames (GNN),R6,28,217,0.9585,0.0000,1.702,0.0270,1.0000,2.0
stride5_gnn,1/5 frames (GNN),R5,27,217,0.9401,0.0082,1.669,0.0265,1.0000,3.0
stride5_gnn,1/5 frames (GNN),T1,31,217,0.9281,0.0164,1.648,0.0261,0.7163,13.0
stride5_gnn,1/5 frames (GNN),T2a,33,217,0.9189,0.0190,1.632,0.0258,0.3217,24.0
stride5_gnn,1/5 frames (GNN),T5c,41,217,0.8931,0.0542,1.586,0.0251,0.4392,66.0
stride5_gnn,1/5 frames (GNN),Mi1,12,217,0.8857,0.1255,1.573,0.0251,0.8825,33.0
stride5_gnn,1/5 frames (GNN),R1,23,217,0.8857,0.0018,1.573,0.0249,1.0000,4.0
stride5_gnn,1/5 frames (GNN),R4,26,217,0.8857,0.0018,1.573,0.0249,1.0000,3.0
stride5_gnn,1/5 frames (GNN),L4,8,217,0.8811,0.0034,1.565,0.0248,1.0000,11.0
stride5_gnn,1/5 frames (GNN),Tm2,45,217,0.8710,0.0395,1.547,0.0245,0.6518,25.0
stride5_gnn,1/5 frames (GNN),CT1(M10),4,217,0.8700,0.1520,1.545,0.0243,1.0000,7.0
stride5_gnn,1/5 frames (GNN),T3,34,217,0.8654,0.0449,1.537,0.0243,0.4105,31.0
stride5_gnn,1/5 frames (GNN),TmY9,64,217,0.8516,0.0390,1.512,0.0239,1.0000,30.0
stride5_gnn,1/5 frames (GNN),T5d,42,217,0.8498,0.0568,1.509,0.0239,0.5838,69.0
stride5_gnn,1/5 frames (GNN),Lawf2,11,35,0.8400,0.0291,1.492,0.0038,0.0820,90.0
stride5_gnn,1/5 frames (GNN),TmY15,59,217,0.8332,0.0432,1.480,0.0234,0.9927,194.0
stride5_gnn,1/5 frames (GNN),T4c,37,217,0.7834,0.0231,1.391,0.0221,0.4925,88.0
stride5_gnn,1/5 frames (GNN),TmY18,60,217,0.7779,0.1374,1.381,0.0217,1.0000,61.0
stride5_gnn,1/5 frames (GNN),Mi13,16,217,0.7263,0.0989,1.290,0.0203,1.0000,14.0
