test,config,model,dataset,complete,R2_W,slope_W,W_struct_r,R2_tau_full,R2_tau_inlier,tau_out_pct,R2_Vrest_full,R2_Vrest_inlier,Vrest_out_pct,onestep_r,rollout_r,cluster_acc
dt,nr2_dt_M1_cv00_unified,gnn,nr2_dt_M1_cv00,True,0.9701,0.9651,0.985,0.948,0.9514,0.0,0.6802,0.838,7.6,0.999,0.999,0.8873
dt,nr2_dt_M1_cv00_known_ode,known_ode,nr2_dt_M1_cv00,True,0.9545,1.025,,0.9746,0.9752,0.0,0.6707,0.915,8.6,0.999,0.999,0.8914
dt,nr2_dt_M2_cv00_unified,gnn,nr2_dt_M2_cv00,True,0.8643,0.796,0.9351,0.9358,0.9395,0.1,-0.394,0.4819,14.1,0.985,0.981,0.8894
dt,nr2_dt_M2_cv00_known_ode,known_ode,nr2_dt_M2_cv00,True,0.8733,0.8544,,0.9453,0.9473,0.1,-0.3476,0.7155,18.8,0.988,0.981,0.8946
dt,nr2_dt_M5_cv00_unified,gnn,nr2_dt_M5_cv00,True,0.8224,0.7216,0.9178,0.906,0.9136,0.2,-0.6198,0.6204,20.1,0.976,0.978,0.8251
dt,nr2_dt_M5_cv00_known_ode,known_ode,nr2_dt_M5_cv00,True,0.8443,0.8257,,0.9183,0.9207,0.1,-0.6924,0.652,22.4,0.979,0.976,0.8947
dt,nr2_dt_M10_cv00_unified,gnn,nr2_dt_M10_cv00,True,0.8119,0.7124,0.912,0.8824,0.8912,0.3,-0.5892,0.6793,27.0,0.972,0.977,0.8446
dt,nr2_dt_M10_cv00_known_ode,known_ode,nr2_dt_M10_cv00,True,0.835,0.8187,,0.9091,0.9135,0.2,-0.7821,0.6367,23.0,0.976,0.974,0.8919
adapt,nr2_adapt_ga00_cv00_unified,gnn,nr2_adapt_ga00_cv00,True,0.9869,0.9815,0.9934,0.9942,0.9942,0.0,0.6323,0.9715,5.0,1.0,1.0,0.917
adapt,nr2_adapt_ga00_cv00_known_ode,known_ode,nr2_adapt_ga00_cv00,True,0.9857,0.9983,,0.9995,0.9995,0.0,0.9494,0.9494,0.0,1.0,1.0,0.9286
adapt,nr2_adapt_ga01_cv00_unified,gnn,nr2_adapt_ga01_cv00,True,0.9741,0.9826,0.9872,0.9876,0.9876,0.0,0.6165,0.7984,5.7,0.999,0.998,0.9099
adapt,nr2_adapt_ga01_cv00_known_ode,known_ode,nr2_adapt_ga01_cv00,True,0.9719,0.9944,,0.9949,0.9949,0.0,0.8045,0.8093,0.3,0.999,0.997,0.9028
adapt,nr2_adapt_ga03_cv00_unified,gnn,nr2_adapt_ga03_cv00,True,0.9086,0.9604,0.9557,0.9813,0.9813,0.0,-0.3462,0.5429,27.7,0.994,0.979,0.9105
adapt,nr2_adapt_ga03_cv00_known_ode,known_ode,nr2_adapt_ga03_cv00,True,0.9233,0.9878,,0.9741,0.9741,0.0,-0.0608,0.5627,19.6,0.994,0.969,0.9037
cadence,nr2_cad_K1_unified_cv00,gnn,nr2_dt_M10_cv00,True,0.8164,0.7448,0.9094,0.8756,0.8828,0.3,-0.4904,0.5832,18.6,0.971,0.975,0.789
cadence,nr2_cad_K1_known_ode_cv00,known_ode,nr2_dt_M10_cv00,True,0.835,0.8187,,0.9091,0.9135,0.2,-0.7821,0.6367,23.0,0.976,0.974,0.8903
cadence,nr2_cad_K2_unified_cv00,gnn,nr2_dt_M10_cv00,True,0.7196,0.7167,0.8506,0.9233,0.9388,0.3,-0.5204,0.5225,23.0,0.963,0.981,0.8189
cadence,nr2_cad_K2_known_ode_cv00,known_ode,nr2_dt_M10_cv00,True,0.7108,0.7226,,0.9042,0.9156,0.4,-0.9078,0.5839,24.1,0.972,0.983,0.8697
cadence,nr2_cad_K5_unified_cv00,gnn,nr2_dt_M10_cv00,False,,,,,,,,,,,,
cadence,nr2_cad_K5_known_ode_cv00,known_ode,nr2_dt_M10_cv00,True,0.4486,0.5807,,0.8633,0.8786,0.8,-1.4258,0.5996,32.5,0.961,0.986,0.8387
cadence,nr2_cad_K10_unified_cv00,gnn,nr2_dt_M10_cv00,False,,,,,,,,,,,,
cadence,nr2_cad_K10_known_ode_cv00,known_ode,nr2_dt_M10_cv00,True,0.2874,0.4899,,0.7422,0.8028,2.2,-2.2529,0.628,42.4,0.94,0.98,0.7841
mono,nr2_mono_ctrl_cv00,gnn,flyvis_noise_005_blank50_cv00,True,0.9867,0.9835,0.9933,0.9904,0.9906,0.0,0.4993,0.8351,5.7,1.0,1.0,0.9165
mono,nr2_mono_mu0off_cv00,gnn,flyvis_noise_005_blank50_cv00,True,0.9881,0.9901,0.994,0.9901,0.9901,0.0,0.8792,0.9235,1.5,1.0,1.0,0.9279
mono,nr2_mono_mu1off_cv00,gnn,flyvis_noise_005_blank50_cv00,True,0.9881,0.9914,0.994,0.997,0.997,0.0,0.6669,0.8376,2.7,1.0,1.0,0.9027
